
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0153026_2, VPC-31863, Siphoviridae
MGV-GENOME-0282405_31, VPC-152, NULL
MGV-GENOME-0262142_18, VPC-656, NULL
MGV-GENOME-0291662_36, VPC-713, Myoviridae
MGV-GENOME-0354697_75, VPC-69, Siphoviridae
MGV-GENOME-4413928_24, VPC-562, NULL
MGV-GENOME-0311099_67, VPC-69, Siphoviridae
MGV-GENOME-0317437_40, VPC-27, Myoviridae
MGV-GENOME-0271704_42, VPC-4560, Siphoviridae
MGV-GENOME-0225643_22, VPC-1964, Myoviridae
MGV-GENOME-0322613_36, VPC-9, Siphoviridae
MGV-GENOME-0302589_24, VPC-1219, Siphoviridae
MGV-GENOME-0331481_16, VPC-9, NULL
MGV-GENOME-0215531_4, VPC-11010, Siphoviridae
MGV-GENOME-4421850_37, VPC-8406, Siphoviridae
MGV-GENOME-0135219_16, VPC-1219, Siphoviridae
MGV-GENOME-0217800_21, VPC-656, NULL
MGV-GENOME-0234196_19, VPC-152, NULL
MGV-GENOME-0255836_23, VPC-562, NULL
MGV-GENOME-0210815_31, VPC-6766, Siphoviridae
MGV-GENOME-0249122_18, VPC-8406, Siphoviridae
MGV-GENOME-0245744_26, VPC-8, Siphoviridae
MGV-GENOME-0246218_24, VPC-283, Siphoviridae
MGV-GENOME-0346791_59, VPC-9, Siphoviridae
MGV-GENOME-0314156_37, VPC-27, Myoviridae
MGV-GENOME-0279679_39, VPC-358, Siphoviridae
MGV-GENOME-0257206_9, VPC-268, NULL
MGV-GENOME-0361326_99, VPC-8, NULL
MGV-GENOME-0159790_11, VPC-502, NULL
MGV-GENOME-0345725_25, VPC-484, NULL
MGV-GENOME-0298977_27, VPC-8, NULL
MGV-GENOME-0117479_11, VPC-2755, Siphoviridae
MGV-GENOME-4410369_19, VPC-713, Siphoviridae
MGV-GENOME-0332334_40, VPC-9, Siphoviridae
MGV-GENOME-0194355_26, VPC-8, NULL
MGV-GENOME-0222054_48, VPC-8, NULL
MGV-GENOME-0242611_20, VPC-656, NULL
MGV-GENOME-0327108_39, VPC-9, NULL
MGV-GENOME-0171006_20, VPC-8016, Myoviridae
MGV-GENOME-0241687_43, VPC-2734, Siphoviridae
MGV-GENOME-4427161_10, VPC-1219, NULL
MGV-GENOME-0294237_63, VPC-9, NULL
MGV-GENOME-0198183_17, VPC-29351, Siphoviridae
MGV-GENOME-0338918_28, VPC-9, NULL
MGV-GENOME-0371360_104, VPC-152, NULL
MGV-GENOME-0311233_44, VPC-9, Siphoviridae
MGV-GENOME-0272718_19, VPC-6045, Siphoviridae
MGV-GENOME-0313865_38, VPC-744, Siphoviridae
MGV-GENOME-0316452_27, VPC-268, NULL
MGV-GENOME-0269670_17, VPC-9, NULL
MGV-GENOME-0259898_27, VPC-562, NULL
MGV-GENOME-0235127_36, VPC-1718, Myoviridae
MGV-GENOME-0300527_46, VPC-9, Siphoviridae
MGV-GENOME-0177459_30, VPC-8, NULL
MGV-GENOME-0337919_38, VPC-656, NULL
MGV-GENOME-0343630_49, VPC-744, NULL
MGV-GENOME-0277333_42, VPC-152, NULL
MGV-GENOME-0339979_28, VPC-502, NULL
MGV-GENOME-0298202_23, VPC-1589, NULL
MGV-GENOME-0284622_18, VPC-1589, Siphoviridae
MGV-GENOME-0330080_53, VPC-268, NULL
MGV-GENOME-0311294_25, VPC-2734, Siphoviridae
MGV-GENOME-0192988_23, VPC-656, NULL
MGV-GENOME-0220874_22, VPC-562, NULL
MGV-GENOME-0331573_26, VPC-69, Siphoviridae
MGV-GENOME-0358519_29, VPC-484, NULL
MGV-GENOME-0302666_62, VPC-27, Myoviridae
MGV-GENOME-0323028_52, VPC-24731, NULL
MGV-GENOME-0324784_32, VPC-152, NULL
MGV-GENOME-0199606_13, VPC-268, Siphoviridae
MGV-GENOME-0266440_39, VPC-358, Siphoviridae
MGV-GENOME-0238847_21, VPC-502, Myoviridae
MGV-GENOME-0304263_35, VPC-152, NULL
MGV-GENOME-0331206_84, VPC-9, Siphoviridae
MGV-GENOME-0274415_10, VPC-152, NULL
MGV-GENOME-0137965_9, VPC-26704, NULL
MGV-GENOME-0155866_34, VPC-358, Siphoviridae
MGV-GENOME-0216151_31, VPC-8, NULL
MGV-GENOME-0304247_44, VPC-9, Siphoviridae
MGV-GENOME-0147234_3, VPC-283, Siphoviridae
MGV-GENOME-0182492_26, VPC-307, Siphoviridae
MGV-GENOME-0193427_6, VPC-787, Siphoviridae
MGV-GENOME-0201664_24, VPC-1916, Myoviridae
MGV-GENOME-0279026_36, VPC-787, Siphoviridae
MGV-GENOME-0189327_22, VPC-8, Siphoviridae
MGV-GENOME-0269541_35, VPC-1964, NULL
MGV-GENOME-0360408_11, VPC-484, NULL
MGV-GENOME-0311503_52, VPC-268, Siphoviridae
MGV-GENOME-0268022_31, VPC-69, Siphoviridae
MGV-GENOME-0328078_46, VPC-744, NULL
MGV-GENOME-0193679_16, VPC-1988, Siphoviridae
MGV-GENOME-0332772_35, VPC-152, NULL
MGV-GENOME-0245141_38, VPC-787, Siphoviridae
MGV-GENOME-0247745_22, VPC-885, Myoviridae
MGV-GENOME-0320647_58, VPC-4591, Siphoviridae
MGV-GENOME-0130258_14, VPC-1387, Siphoviridae
MGV-GENOME-0274411_23, VPC-27, Myoviridae
MGV-GENOME-0167457_17, VPC-8327, Siphoviridae
MGV-GENOME-0265620_19, VPC-4591, Siphoviridae
MGV-GENOME-0288219_32, VPC-744, Siphoviridae
MGV-GENOME-0235108_40, VPC-9, Siphoviridae
MGV-GENOME-0191433_17, VPC-1387, Siphoviridae
MGV-GENOME-0270369_15, VPC-69, Siphoviridae
MGV-GENOME-0318240_47, VPC-484, NULL
MGV-GENOME-0180032_14, VPC-358, Siphoviridae
MGV-GENOME-0328392_57, VPC-4591, Siphoviridae
MGV-GENOME-0326931_40, VPC-152, NULL
MGV-GENOME-0239745_2, VPC-1589, NULL
MGV-GENOME-0348765_15, VPC-1387, NULL
MGV-GENOME-0329906_59, VPC-69, Siphoviridae
MGV-GENOME-0306889_52, VPC-1387, Siphoviridae
MGV-GENOME-0197448_5, VPC-27, Myoviridae
MGV-GENOME-0206636_12, VPC-268, NULL
MGV-GENOME-0317002_28, VPC-268, Siphoviridae
MGV-GENOME-0168843_20, VPC-7708, NULL
MGV-GENOME-0340311_31, VPC-1589, NULL
MGV-GENOME-0337417_38, VPC-152, NULL
MGV-GENOME-0313365_39, VPC-268, NULL
MGV-GENOME-0266564_8, VPC-9, Siphoviridae
MGV-GENOME-0367703_81, VPC-484, NULL
MGV-GENOME-0230178_31, VPC-152, Siphoviridae
MGV-GENOME-0165650_31, VPC-5885, NULL
MGV-GENOME-0154044_21, VPC-126946, Siphoviridae
MGV-GENOME-4427836_67, VPC-656, NULL
MGV-GENOME-0248139_26, VPC-287, NULL
MGV-GENOME-0322983_79, VPC-9, Siphoviridae
MGV-GENOME-0325477_29, VPC-152, NULL
MGV-GENOME-0171733_27, VPC-3454, Myoviridae
MGV-GENOME-0260972_15, VPC-8, NULL
MGV-GENOME-0253395_17, VPC-268, NULL
MGV-GENOME-0140818_27, VPC-164495, Siphoviridae
MGV-GENOME-4385322_11, VPC-307, Siphoviridae
MGV-GENOME-0351015_22, VPC-69, Siphoviridae
MGV-GENOME-0218276_25, VPC-8016, Myoviridae
MGV-GENOME-0326487_31, VPC-27, Myoviridae
MGV-GENOME-0162943_5, VPC-287, NULL
MGV-GENOME-0259648_24, VPC-8, Siphoviridae
MGV-GENOME-0299960_10, VPC-7708, NULL
MGV-GENOME-0272486_52, VPC-34538, Siphoviridae
MGV-GENOME-0313046_51, VPC-9, NULL
MGV-GENOME-0236445_29, VPC-27, Myoviridae
MGV-GENOME-0187728_27, VPC-562, Myoviridae
MGV-GENOME-0212845_9, VPC-562, Myoviridae
MGV-GENOME-0222817_26, VPC-147051, Myoviridae
MGV-GENOME-0172067_9, VPC-562, Myoviridae
MGV-GENOME-0317164_28, VPC-152, NULL
MGV-GENOME-0245943_39, VPC-152, NULL
MGV-GENOME-0149981_3, VPC-307, Siphoviridae
MGV-GENOME-0251050_23, VPC-8, Siphoviridae
MGV-GENOME-0250828_2, VPC-268, NULL
MGV-GENOME-0263329_6, VPC-152, NULL
MGV-GENOME-0320524_29, VPC-1964, NULL
MGV-GENOME-0179423_18, VPC-358, NULL
MGV-GENOME-0151716_20, VPC-1916, NULL
MGV-GENOME-0209147_31, VPC-8, Siphoviridae
MGV-GENOME-0269233_26, VPC-562, NULL
MGV-GENOME-0370025_61, VPC-3444, NULL
MGV-GENOME-0309957_1, VPC-147051, NULL
MGV-GENOME-0124297_17, VPC-19138, NULL
MGV-GENOME-0243485_30, VPC-2734, NULL
MGV-GENOME-0292404_58, VPC-9, Siphoviridae
MGV-GENOME-0169629_6, VPC-307, Siphoviridae
MGV-GENOME-0150567_18, VPC-287, NULL
MGV-GENOME-0239355_41, VPC-358, Siphoviridae
MGV-GENOME-0267169_42, VPC-358, Siphoviridae
MGV-GENOME-0308348_39, VPC-27, Myoviridae
MGV-GENOME-0182629_17, VPC-358, Siphoviridae
MGV-GENOME-0242655_28, VPC-27, Myoviridae
MGV-GENOME-0343131_59, VPC-4591, Siphoviridae
MGV-GENOME-0197049_28, VPC-27, Myoviridae
MGV-GENOME-0229439_36, VPC-8327, Siphoviridae
MGV-GENOME-0300461_43, VPC-27, Myoviridae
MGV-GENOME-0288977_53, VPC-787, Siphoviridae
MGV-GENOME-0234693_21, VPC-562, Myoviridae
MGV-GENOME-0244298_38, VPC-787, Siphoviridae
MGV-GENOME-0349791_25, VPC-484, NULL
MGV-GENOME-0221889_41, VPC-8, Siphoviridae
MGV-GENOME-0295233_23, VPC-287, NULL
MGV-GENOME-0177696_8, VPC-562, Myoviridae
MGV-GENOME-0014044_17, VPC-304754, NULL
MGV-GENOME-0226359_37, VPC-8, NULL
MGV-GENOME-0175362_15, VPC-9, NULL
MGV-GENOME-0223242_40, VPC-5885, NULL
MGV-GENOME-0180507_12, VPC-69338, NULL
MGV-GENOME-0181919_26, VPC-1916, Siphoviridae
MGV-GENOME-0243984_12, VPC-152, Siphoviridae
MGV-GENOME-0220176_21, VPC-8, Siphoviridae
MGV-GENOME-0196504_7, VPC-8327, Siphoviridae
MGV-GENOME-0303093_25, VPC-307, NULL
MGV-GENOME-0205694_7, VPC-27, Myoviridae
MGV-GENOME-0233675_3, VPC-1916, NULL
MGV-GENOME-0354643_112, VPC-5791, NULL
MGV-GENOME-0267664_36, VPC-358, Siphoviridae
MGV-GENOME-0241204_44, VPC-268, NULL
MGV-GENOME-0316223_35, VPC-152, NULL
MGV-GENOME-0242956_27, VPC-9, Siphoviridae
MGV-GENOME-0319939_40, VPC-27, Myoviridae
MGV-GENOME-0223607_26, VPC-8, NULL
MGV-GENOME-0187925_27, VPC-287, NULL
MGV-GENOME-0322423_28, VPC-152, NULL
MGV-GENOME-0230926_25, VPC-1589, NULL
MGV-GENOME-0276422_35, VPC-287, NULL
MGV-GENOME-0178949_20, VPC-8, NULL
MGV-GENOME-0223953_4, VPC-283, Siphoviridae
MGV-GENOME-0315607_15, VPC-4591, NULL
MGV-GENOME-0149559_6, VPC-287, NULL
MGV-GENOME-0310134_32, VPC-8, NULL
MGV-GENOME-0355604_15, VPC-9, NULL
MGV-GENOME-0333598_38, VPC-1589, NULL
MGV-GENOME-0297941_37, VPC-152, NULL
MGV-GENOME-0280174_6, VPC-484, NULL
MGV-GENOME-0184010_13, VPC-1387, Siphoviridae
MGV-GENOME-0291688_61, VPC-9, Siphoviridae
MGV-GENOME-0157594_14, VPC-713, Siphoviridae
MGV-GENOME-0305027_37, VPC-744, NULL
MGV-GENOME-0297341_10, VPC-9, NULL
MGV-GENOME-0313325_39, VPC-268, NULL
MGV-GENOME-0219497_14, VPC-4560, Siphoviridae
MGV-GENOME-0250353_17, VPC-744, NULL
MGV-GENOME-0270126_34, VPC-56617, Siphoviridae
MGV-GENOME-0299635_34, VPC-1964, Myoviridae
MGV-GENOME-0120952_13, VPC-1219, Siphoviridae
MGV-GENOME-0234618_21, VPC-152, NULL
MGV-GENOME-0263530_22, VPC-171664, NULL
MGV-GENOME-0116455_12, VPC-2755, Siphoviridae
MGV-GENOME-0260245_15, VPC-1718, Myoviridae
MGV-GENOME-0242589_27, VPC-8, NULL
MGV-GENOME-0208888_30, VPC-307, Siphoviridae
MGV-GENOME-0291028_21, VPC-4560, Siphoviridae
MGV-GENOME-0270372_30, VPC-307, Siphoviridae
MGV-GENOME-0228644_29, VPC-27, Myoviridae
MGV-GENOME-4422273_25, VPC-1219, NULL
MGV-GENOME-0330133_49, VPC-69, Siphoviridae
MGV-GENOME-0336779_13, VPC-74004, NULL
MGV-GENOME-0226105_13, VPC-713, Siphoviridae
MGV-GENOME-0252753_25, VPC-69, Siphoviridae
MGV-GENOME-0242530_22, VPC-1219, Siphoviridae
MGV-GENOME-0236233_51, VPC-152, Siphoviridae
MGV-GENOME-4429339_24, VPC-502, NULL
MGV-GENOME-0169298_15, VPC-1387, Siphoviridae
MGV-GENOME-0307935_39, VPC-27, Myoviridae
MGV-GENOME-0322905_28, VPC-268, Siphoviridae
MGV-GENOME-0266046_8, VPC-69, Siphoviridae
MGV-GENOME-0311401_35, VPC-885, Myoviridae
MGV-GENOME-0308866_20, VPC-8406, Siphoviridae
MGV-GENOME-0276358_30, VPC-502, NULL
MGV-GENOME-0241189_9, VPC-268, NULL
MGV-GENOME-0289686_30, VPC-562, NULL
MGV-GENOME-4420391_29, VPC-1219, Siphoviridae
MGV-GENOME-0197444_18, VPC-1916, Siphoviridae
MGV-GENOME-0317611_36, VPC-358, Siphoviridae
MGV-GENOME-0242511_51, VPC-713, Siphoviridae
MGV-GENOME-0218363_32, VPC-1219, Siphoviridae
MGV-GENOME-0230895_30, VPC-287, NULL
MGV-GENOME-0318776_38, VPC-656, Myoviridae
MGV-GENOME-0174940_2, VPC-358, NULL
MGV-GENOME-0234964_16, VPC-283, Siphoviridae
MGV-GENOME-0192877_37, VPC-502, Myoviridae
MGV-GENOME-0288189_30, VPC-787, Siphoviridae
MGV-GENOME-0197206_28, VPC-8, Siphoviridae
MGV-GENOME-0144210_5, VPC-1387, Siphoviridae
MGV-GENOME-0259626_46, VPC-27, Myoviridae
MGV-GENOME-0136547_8, VPC-283, Siphoviridae
MGV-GENOME-0296175_27, VPC-885, Myoviridae
MGV-GENOME-0329858_87, VPC-9, NULL
MGV-GENOME-0207539_31, VPC-27, Myoviridae
MGV-GENOME-0261208_33, VPC-287, NULL
MGV-GENOME-0317458_66, VPC-53357, NULL
MGV-GENOME-0169109_26, VPC-20126, Siphoviridae
MGV-GENOME-0275347_33, VPC-307, NULL
MGV-GENOME-0204383_9, VPC-885, NULL
MGV-GENOME-0345743_99, VPC-484, NULL
MGV-GENOME-0353344_21, VPC-69, Siphoviridae
MGV-GENOME-0371458_12, VPC-484, NULL
MGV-GENOME-0343474_27, VPC-152, NULL
MGV-GENOME-0363153_41, VPC-11167, NULL
MGV-GENOME-4375687_14, VPC-713, Siphoviridae
MGV-GENOME-0205656_12, VPC-562, Myoviridae
MGV-GENOME-0112528_15, VPC-2755, Siphoviridae
MGV-GENOME-0205431_17, VPC-8, Siphoviridae
MGV-GENOME-0248754_10, VPC-358, Siphoviridae
MGV-GENOME-0335154_21, VPC-9, NULL
MGV-GENOME-0330299_51, VPC-8, Siphoviridae
MGV-GENOME-0304732_10, VPC-744, Siphoviridae
MGV-GENOME-0155864_16, VPC-8, NULL
MGV-GENOME-0192013_15, VPC-8, Siphoviridae
MGV-GENOME-0331305_41, VPC-152, NULL
MGV-GENOME-0330198_18, VPC-69, Siphoviridae
MGV-GENOME-0339215_70, VPC-268, NULL
MGV-GENOME-0197523_22, VPC-787, Siphoviridae
MGV-GENOME-0203408_43, VPC-358, NULL
MGV-GENOME-0280956_29, VPC-562, Myoviridae
MGV-GENOME-0217891_20, VPC-8, NULL
MGV-GENOME-0262087_22, VPC-287, NULL
MGV-GENOME-0323578_32, VPC-27, NULL
MGV-GENOME-0256724_29, VPC-8, NULL
MGV-GENOME-0236535_3, VPC-3984, Siphoviridae
MGV-GENOME-0160863_13, VPC-7708, NULL
MGV-GENOME-0259698_27, VPC-787, Siphoviridae
MGV-GENOME-0263663_18, VPC-787, Siphoviridae
MGV-GENOME-0239753_27, VPC-8, NULL
MGV-GENOME-0209479_22, VPC-268713, Siphoviridae
MGV-GENOME-0281980_59, VPC-358, NULL
MGV-GENOME-0252172_37, VPC-8, Siphoviridae
MGV-GENOME-0325701_14, VPC-484, NULL
MGV-GENOME-0269415_30, VPC-2734, NULL
MGV-GENOME-0300907_18, VPC-1988, Siphoviridae
MGV-GENOME-0266509_12, VPC-69, Siphoviridae
MGV-GENOME-0321628_26, VPC-5791, NULL
MGV-GENOME-0242811_20, VPC-8, Siphoviridae
MGV-GENOME-0185892_28, VPC-885, Myoviridae
MGV-GENOME-0137561_10, VPC-8, Siphoviridae
MGV-GENOME-0210152_22, VPC-4591, Siphoviridae
MGV-GENOME-0247255_24, VPC-8, Siphoviridae
MGV-GENOME-0215735_18, VPC-8, Siphoviridae
MGV-GENOME-0312830_32, VPC-8, Siphoviridae
MGV-GENOME-0297004_30, VPC-307, Myoviridae
MGV-GENOME-0278591_8, VPC-26704, NULL
MGV-GENOME-0299963_18, VPC-1718, Myoviridae
MGV-GENOME-0281439_30, VPC-307, Siphoviridae
MGV-GENOME-0312983_35, VPC-152, NULL
MGV-GENOME-0283343_24, VPC-885, NULL
MGV-GENOME-0201247_23, VPC-656, NULL
MGV-GENOME-0241205_26, VPC-56617, Siphoviridae
MGV-GENOME-0332211_74, VPC-69, Siphoviridae
MGV-GENOME-0265596_16, VPC-9, NULL
MGV-GENOME-0330066_48, VPC-9, Siphoviridae
MGV-GENOME-0310636_31, VPC-283, Siphoviridae
MGV-GENOME-0154755_11, VPC-8, NULL
MGV-GENOME-0147995_2, VPC-8, Siphoviridae
MGV-GENOME-0198704_26, VPC-358, Siphoviridae
MGV-GENOME-0254375_28, VPC-283, Siphoviridae
MGV-GENOME-0233850_38, VPC-358, Siphoviridae
MGV-GENOME-0273130_35, VPC-787, Siphoviridae
MGV-GENOME-0130864_13, VPC-8, Siphoviridae
MGV-GENOME-0248763_38, VPC-287, NULL
MGV-GENOME-0315084_23, VPC-9, NULL
MGV-GENOME-0207775_5, VPC-885, Myoviridae
MGV-GENOME-0228939_49, VPC-8, NULL
MGV-GENOME-0367535_75, VPC-3444, NULL
MGV-GENOME-0313494_39, VPC-744, NULL
MGV-GENOME-4399968_33, VPC-8, Siphoviridae
MGV-GENOME-0231189_14, VPC-27, Myoviridae
MGV-GENOME-0286091_10, VPC-27, Myoviridae
MGV-GENOME-0317742_15, VPC-1387, Siphoviridae
MGV-GENOME-0339788_47, VPC-152, NULL
MGV-GENOME-0177665_27, VPC-8, NULL
MGV-GENOME-0263815_13, VPC-358, Siphoviridae
MGV-GENOME-0165019_10, VPC-8, Siphoviridae
MGV-GENOME-0323495_72, VPC-9, NULL
MGV-GENOME-0064623_14, VPC-2755, Siphoviridae
MGV-GENOME-0341931_25, VPC-1219, NULL
MGV-GENOME-0225971_13, VPC-27, Myoviridae
MGV-GENOME-0216265_18, VPC-8, NULL
MGV-GENOME-0335905_27, VPC-562, NULL
MGV-GENOME-0264196_6, VPC-69, Siphoviridae
MGV-GENOME-0159120_5, VPC-283, Siphoviridae
MGV-GENOME-0350943_34, VPC-9, Siphoviridae
MGV-GENOME-0320114_11, VPC-744, crAss-phage
MGV-GENOME-0325501_73, VPC-9, Siphoviridae
MGV-GENOME-0323703_41, VPC-1964, NULL
MGV-GENOME-0231178_16, VPC-13557, Siphoviridae
MGV-GENOME-0294113_46, VPC-1589, NULL
MGV-GENOME-0246927_24, VPC-358, Siphoviridae
MGV-GENOME-0355769_22, VPC-19138, Siphoviridae
MGV-GENOME-0276259_46, VPC-152, NULL
MGV-GENOME-0267374_16, VPC-9, NULL
MGV-GENOME-0198840_28, VPC-287, NULL
MGV-GENOME-0156917_12, VPC-283, Siphoviridae
MGV-GENOME-0371477_26, VPC-885, Siphoviridae
MGV-GENOME-0153639_16, VPC-4560, Siphoviridae
MGV-GENOME-0219931_15, VPC-268, Siphoviridae
MGV-GENOME-0345346_36, VPC-4196, NULL
MGV-GENOME-0196205_41, VPC-267939, Myoviridae
MGV-GENOME-0180594_14, VPC-135661, NULL
MGV-GENOME-0224683_29, VPC-27, Myoviridae
MGV-GENOME-0248294_26, VPC-8, NULL
MGV-GENOME-0341473_48, VPC-4591, NULL
MGV-GENOME-0257836_26, VPC-69481, Siphoviridae
MGV-GENOME-0165523_11, VPC-8, Siphoviridae
MGV-GENOME-0195479_30, VPC-287, NULL
MGV-GENOME-0257463_15, VPC-484, NULL
MGV-GENOME-0279711_33, VPC-268, NULL
MGV-GENOME-0248920_27, VPC-1988, Siphoviridae
MGV-GENOME-0260595_30, VPC-287, NULL
MGV-GENOME-0217151_18, VPC-283, Siphoviridae
MGV-GENOME-0312051_36, VPC-27, Myoviridae
MGV-GENOME-0156731_7, VPC-307, Siphoviridae
MGV-GENOME-0247273_26, VPC-8, NULL
MGV-GENOME-0198864_21, VPC-283, Siphoviridae
MGV-GENOME-0340008_26, VPC-69, Siphoviridae
MGV-GENOME-0210132_38, VPC-9, Siphoviridae
MGV-GENOME-0237929_18, VPC-2734, Siphoviridae
MGV-GENOME-0177344_18, VPC-283, Siphoviridae
MGV-GENOME-0242690_26, VPC-1387, Siphoviridae
MGV-GENOME-0329385_27, VPC-9, NULL
MGV-GENOME-0315676_39, VPC-358, Siphoviridae
MGV-GENOME-0302577_20, VPC-8, NULL
MGV-GENOME-0251250_14, VPC-787, Siphoviridae
MGV-GENOME-0335682_70, VPC-268, NULL
MGV-GENOME-0256270_28, VPC-5885, NULL
MGV-GENOME-0267299_54, VPC-744, NULL
MGV-GENOME-0306325_6, VPC-27, NULL
MGV-GENOME-0346294_61, VPC-268, NULL
MGV-GENOME-0358677_38, VPC-268, NULL
MGV-GENOME-0340529_34, VPC-1964, Myoviridae
MGV-GENOME-0353265_49, VPC-5791, NULL
MGV-GENOME-0159748_12, VPC-2734, Siphoviridae
MGV-GENOME-0251198_12, VPC-91621, Siphoviridae
MGV-GENOME-0173238_21, VPC-562, Myoviridae
MGV-GENOME-0253283_31, VPC-307, NULL
MGV-GENOME-0279890_47, VPC-307, Siphoviridae
MGV-GENOME-0243166_34, VPC-69, Siphoviridae
MGV-GENOME-0151334_19, VPC-283, Siphoviridae
MGV-GENOME-0316378_55, VPC-4196, NULL
MGV-GENOME-0299305_36, VPC-885, Myoviridae
MGV-GENOME-0179685_18, VPC-8, Siphoviridae
MGV-GENOME-0335404_36, VPC-152, NULL
MGV-GENOME-0229001_17, VPC-502, NULL
MGV-GENOME-0058232_7, VPC-2755, Siphoviridae
MGV-GENOME-0312933_46, VPC-744, NULL
MGV-GENOME-0336144_12, VPC-5791, NULL
MGV-GENOME-0226802_27, VPC-283, Siphoviridae
MGV-GENOME-0288674_74, VPC-9, Siphoviridae
MGV-GENOME-0147236_10, VPC-7295, Siphoviridae
MGV-GENOME-0226298_11, VPC-8, NULL
MGV-GENOME-0199894_9, VPC-6766, NULL
MGV-GENOME-0176405_5, VPC-8, NULL
MGV-GENOME-0232216_12, VPC-268, Siphoviridae
MGV-GENOME-0214168_8, VPC-1718, Myoviridae
MGV-GENOME-0207826_47, VPC-8, Siphoviridae
MGV-GENOME-0352133_47, VPC-4562, NULL
MGV-GENOME-0307767_36, VPC-2734, NULL
MGV-GENOME-0307550_26, VPC-268, NULL
MGV-GENOME-0225557_31, VPC-8, Siphoviridae
MGV-GENOME-0325028_44, VPC-502, Siphoviridae
MGV-GENOME-0354442_49, VPC-9, NULL
MGV-GENOME-0145399_3, VPC-8, Siphoviridae
MGV-GENOME-0201211_16, VPC-787, Siphoviridae
MGV-GENOME-0270259_25, VPC-6045, Siphoviridae
MGV-GENOME-0293605_22, VPC-562, NULL
MGV-GENOME-0187384_9, VPC-20054, Siphoviridae
MGV-GENOME-0366621_89, VPC-11167, NULL
MGV-GENOME-0163784_15, VPC-8, Siphoviridae
MGV-GENOME-0212716_28, VPC-885, NULL
MGV-GENOME-0177590_32, VPC-502, Myoviridae
MGV-GENOME-0321577_23, VPC-5147, NULL
MGV-GENOME-0213954_24, VPC-13307, Siphoviridae
MGV-GENOME-0366712_69, VPC-484, NULL
MGV-GENOME-0320405_59, VPC-27, Myoviridae
MGV-GENOME-0320667_28, VPC-307, Siphoviridae
MGV-GENOME-0273582_48, VPC-358, Siphoviridae
MGV-GENOME-0226778_25, VPC-307, Siphoviridae
MGV-GENOME-0279904_27, VPC-307, NULL
MGV-GENOME-0316594_11, VPC-9, Siphoviridae
MGV-GENOME-0305596_61, VPC-9, NULL
MGV-GENOME-0297813_59, VPC-9, NULL
MGV-GENOME-0367893_35, VPC-744, NULL
MGV-GENOME-0337027_71, VPC-69, Siphoviridae
MGV-GENOME-0221016_9, VPC-9, NULL
MGV-GENOME-0235713_33, VPC-787, Siphoviridae
MGV-GENOME-0226752_53, VPC-6766, Siphoviridae
MGV-GENOME-0125325_1, VPC-283, Siphoviridae
MGV-GENOME-0201871_17, VPC-4196, NULL
MGV-GENOME-0189271_28, VPC-283, Siphoviridae
MGV-GENOME-0210002_35, VPC-9, NULL
MGV-GENOME-0177518_25, VPC-8, NULL
MGV-GENOME-0235569_35, VPC-358, Siphoviridae
MGV-GENOME-0341688_5, VPC-4196, NULL
MGV-GENOME-0171626_26, VPC-885, Myoviridae
MGV-GENOME-0233047_28, VPC-656, NULL
MGV-GENOME-0268107_17, VPC-885, Myoviridae
MGV-GENOME-0224739_26, VPC-1219, Siphoviridae
MGV-GENOME-0320704_69, VPC-27, Myoviridae
MGV-GENOME-0237804_27, VPC-283, Siphoviridae
MGV-GENOME-0243041_45, VPC-27, Myoviridae
MGV-GENOME-0227935_27, VPC-885, Myoviridae
MGV-GENOME-0273762_34, VPC-1718, Myoviridae
MGV-GENOME-0287006_25, VPC-268, NULL
MGV-GENOME-0277666_29, VPC-885, NULL
MGV-GENOME-0260343_15, VPC-787, Siphoviridae
MGV-GENOME-0270388_23, VPC-1387, Siphoviridae
MGV-GENOME-0109590_7, VPC-8, Siphoviridae
MGV-GENOME-0310351_7, VPC-5147, NULL
MGV-GENOME-0330638_69, VPC-9, NULL
MGV-GENOME-0234787_37, VPC-11010, Siphoviridae
MGV-GENOME-0313876_30, VPC-656, NULL
MGV-GENOME-0143367_5, VPC-283, Siphoviridae
MGV-GENOME-0251470_4, VPC-40585, NULL
MGV-GENOME-4046381_14, VPC-337514, Siphoviridae
MGV-GENOME-0145792_13, VPC-287, Siphoviridae
MGV-GENOME-0247233_21, VPC-4560, Siphoviridae
MGV-GENOME-0275090_31, VPC-27, Myoviridae
MGV-GENOME-0256666_40, VPC-9, NULL
MGV-GENOME-0280469_2, VPC-358, NULL
MGV-GENOME-0259745_6, VPC-7371, Siphoviridae
MGV-GENOME-0318292_16, VPC-9, NULL
MGV-GENOME-0208232_30, VPC-6045, Siphoviridae
MGV-GENOME-0190170_11, VPC-8, NULL
MGV-GENOME-0200877_17, VPC-8, Siphoviridae
MGV-GENOME-0188381_15, VPC-283, Siphoviridae
MGV-GENOME-0220104_14, VPC-9, Siphoviridae
MGV-GENOME-0324638_69, VPC-1589, Siphoviridae
MGV-GENOME-0189209_6, VPC-11939, NULL
MGV-GENOME-0225441_37, VPC-562, NULL
MGV-GENOME-0243743_27, VPC-283, Siphoviridae
MGV-GENOME-0251484_26, VPC-27, NULL
MGV-GENOME-0340605_61, VPC-69, Siphoviridae
MGV-GENOME-0173068_23, VPC-8, Siphoviridae
